Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,22.7
2001,22.9
2002,22.5
2003,22.1
2004,21.7
2005,21.1
2006,20.9
2007,20.5
2008,20.1
2009,20
2010,19.7
2011,19.3
2012,19.1
2013,19
2014,18.8
2015,18.5
2016,18.3
2017,18.1
2018,18.1
2019,18.1
2020,19
2021,18.5
2022,..
2023,..
2024,..
2025,..
