Year,Value
1960,7.48808074584897
1961,7.49624280345232
1962,7.51158232670914
1963,7.52896874844035
1964,7.54105012412844
1965,7.5466902705692
1966,7.54462181894481
1967,7.53655252192645
1968,7.52746790953827
1969,7.52113693997928
1970,7.51781102961309
1971,7.50033217068846
1972,7.45160488751991
1973,7.37067495867243
1974,7.26932970813832
1975,7.18309296665352
1976,7.1247149692053
1977,7.09097196674984
1978,7.08377520252932
1979,7.0953876424799
1980,7.10822008440052
1981,7.10655884720275
1982,7.09971251280329
1983,7.08416291694218
1984,7.06489759073734
1985,7.04991618767842
1986,7.03295920128492
1987,7.01986551499438
1988,7.01225011798961
1989,7.00766378963533
1990,7.00631638615572
1991,7.00459781093558
1992,7.00582614285742
1993,7.01522319922314
1994,7.03339623360756
1995,7.06052596062005
1996,7.10202123835394
1997,7.16174207373088
1998,7.2367912870129
1999,7.32603297332857
2000,7.42515354893547
2001,7.52232966216881
2002,7.61427514777894
2003,7.70351421009672
2004,7.77456161886735
2005,7.81199131645332
2006,7.82063901991444
2007,7.8081693289612
2008,7.7767929214713
2009,7.72695098590269
2010,7.66426337861454
2011,7.59402259034964
2012,7.51681778080302
2013,7.43787647116418
2014,7.3733147667337
2015,7.3276049839622
2016,7.30369099746578
2017,7.30600769217656
2018,7.31950907816124
2019,7.33668038492807
2020,7.3730239775567
2021,7.4262988516834
2022,7.47910921615883
2023,7.53055887769121
2024,7.57847477951681
2025,..
