Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,95.5401
2008,98.4768
2009,91.8454
2010,102.1519
2011,102.5542
2012,100.5538
2013,97.4001
2014,97.9527
2015,104.2692
2016,101.147
2017,100.5824
2018,92.7176
2019,100.9999
2020,108.6802
2021,134.6411
2022,..
2023,..
2024,..
2025,..
