Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,311.198054593103
1987,2783.81255973534
1988,39.6061677566129
1989,20.3242205124228
1990,60.0243555529187
1991,110.989500863731
1992,130.644713652994
1993,130.486398352119
1994,120.962780107501
1995,110.361475291939
1996,107.698204368008
1997,105.186161855104
1998,107.160043891987
1999,111.456682574472
2000,109.931986940756
2001,110.298722768316
2002,107.662403666935
2003,100.718477539942
2004,96.9387834266712
2005,95.831646711887
2006,96.1400119007666
2007,94.2089233872811
2008,97.8198873082462
2009,106.945700466132
2010,100
2011,95.8870928423709
2012,97.4298165900415
2013,97.2416753625526
2014,97.3462833106398
2015,102.083470537351
2016,102.263037430323
2017,98.5327233688713
2018,95.9384477580957
2019,96.0149449428993
2020,95.9688514458804
2021,93.0301008332652
2022,97.1497468942447
2023,98.7281016102565
2024,100.963799728453
2025,..
