Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0.334
1991,0.531
1992,1.32
1993,1.97
1994,3.26
1995,6.47
1996,9.65
1997,14.1
1998,22.2
1999,39.2
2000,43.9844
2001,49.3731
2002,61.29
2003,64.35
2004,68.52
2005,81
2006,83.7
2007,85.82
2008,87.42
2009,89.63
2010,90.72
2011,91.42
2012,92.86
2013,93.9564
2014,91.6667
2015,91.7241
2016,90.411
2017,93.1973
2018,91.8919
2019,93.2886
2020,91.3333
2021,92.053
2022,92.5197
2023,97.0068
2024,..
2025,..
