Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,19195.4781971118
1971,19542.5266494625
1972,20044.4288786107
1973,21215.1202345226
1974,21252.3692885124
1975,20748.5314544387
1976,21754.9462983385
1977,22032.1046687594
1978,22343.6118070787
1979,22371.8611825326
1980,22407.6107588734
1981,22190.2694324041
1982,21981.1279026001
1983,22292.6483397299
1984,23097.3272570026
1985,22988.8083639326
1986,23506.956613953
1987,23683.8723338414
1988,24102.2472852578
1989,24996.1470005774
1990,25359.0413017331
1991,25954.5237965165
1992,25918.5701783034
1993,26196.1274437386
1994,27153.1043770757
1995,28223.7958126631
1996,29241.3780364976
1997,30527.934884821
1998,31574.9413336501
1999,33253.6561479265
2000,34289.4837778323
2001,33999.3356937216
2002,33682.5298365047
2003,33999.6387147962
2004,34375.1011165559
2005,35060.4914262383
2006,36684.5695615614
2007,37717.8503939037
2008,36426.0397333434
2009,34945.9325154433
2010,36175.3814946172
2011,36475.1003736151
2012,35647.6053632809
2013,35647.3236687395
2014,35978.3126350907
2015,36999.5324402407
2016,37083.5210794882
2017,38504.6867274999
2018,39457.1280753332
2019,39404.5605722463
2020,36496.9951859705
2021,38229.934076276
2022,..
2023,..
2024,..
2025,..
