Year,Value
1960,..
1961,..
1962,..
1963,..
1964,39999.9991059303
1965,600000.023841858
1966,1019999.98092651
1967,400000.005960464
1968,330000.013113022
1969,889999.985694885
1970,1049999.95231628
1971,1549999.95231628
1972,3240000.00953674
1973,4929999.82833862
1974,2470000.02861023
1975,10199999.8092651
1976,4309999.94277954
1977,4860000.1335144
1978,8090000.15258789
1979,17110000.6103516
1980,18809999.4659424
1981,5960000.03814697
1982,7980000.01907349
1983,17149999.6185303
1984,10250000
1985,10579999.9237061
1986,21290000.9155273
1987,26739999.7711182
1988,68529998.7792969
1989,37979999.5422363
1990,35560001.373291
1991,36889999.3896484
1992,36930000.3051758
1993,22000000
1994,22569999.6948242
1995,19510000.2288818
1996,25709999.0844727
1997,24600000.3814697
1998,24500000
1999,22139999.3896484
2000,21809999.4659424
2001,37919998.1689453
2002,34520000.4577637
2003,63049999.2370605
2004,52549999.2370605
2005,63069999.6948242
2006,33029998.7792969
2007,48889999.3896484
2008,62250000
2009,59610000.6103516
2010,41950000.7629395
2011,40419998.1689453
2012,64781242.3706055
2013,44273208.6181641
2014,37260833.7402344
2015,38868976.5930176
2016,35020931.2438965
2017,44643455.5053711
2018,51639888.7634277
2019,45848003.3874512
2020,57485260.0097656
2021,54328304.2907715
2022,60925842.2851563
2023,50924720.7641602
2024,..
2025,..
