Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,6.45755413296259
1991,5.07257000439818
1992,5.18790143158472
1993,7.18666637512654
1994,5.93662097209065
1995,6.19866222825409
1996,8.43185115277197
1997,8.47149563164366
1998,8.47149563162598
1999,12.1018268929921
2000,12.1018268909762
2001,12.1201052319559
2002,11.8585886040614
2003,11.8585885991978
2004,9.1859728360924
2005,9.18597284208077
2006,9.13391619180121
2007,9.18597284150406
2008,1.90097752074927
2009,1.90097752666214
2010,8.2269930936323
2011,8.38378653392497
2012,8.5986138785648
2013,8.5986138783126
2014,10.5153149887906
2015,10.515314990321
2016,10.5153149894647
2017,10.5153149889234
2018,10.4702544568094
2019,10.5153149887873
2020,10.5008530528714
2021,10.5153109907608
2022,10.5153109905714
2023,..
2024,..
2025,..
