Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,35.3762176976841
1992,36.2376170206706
1993,36.8050542922277
1994,37.6511660217508
1995,38.2110114193001
1996,38.8154660933809
1997,38.5666544066985
1998,38.3407389053321
1999,38.2144624229361
2000,38.6113356935147
2001,38.9742320078569
2002,38.955506225614
2003,39.3644774126089
2004,39.8195545516232
2005,40.2665588907897
2006,40.6584697808963
2007,41.130580055274
2008,41.5581954604449
2009,41.9962955477937
2010,42.3231316637042
2011,42.5951459241855
2012,43.1778652112746
2013,43.6094057706773
2014,44.2014896453069
2015,44.5956591912392
2016,44.6557475963972
2017,45.031074434089
2018,45.6175621739596
2019,46.0971979934418
2020,44.8089096783177
2021,44.6166030328708
2022,45.0595042833404
2023,45.2005018624282
2024,45.4888949006541
2025,..
