Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,2.06208867283834
2009,1.67485362975875
2010,1.72319662211764
2011,1.14296198071459
2012,1.22189323886366
2013,0.660379583990713
2014,0.653651832345533
2015,0.806231402870409
2016,0.584491666743822
2017,0.637346016655769
2018,1.99570188809808
2019,2.89615438322016
2020,3.29840138467919
2021,3.47230553304225
2022,3.53488833064102
2023,3.35909890647949
2024,2.02858231826912
2025,..
