Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,0.678050518462083
1991,0.645983830437466
1992,0.643307583485242
1993,0.636790759818735
1994,0.563963308547146
1995,0.555698606682028
1996,0.527402768463772
1997,0.504581920856194
1998,0.503144256463428
1999,0.498329315673058
2000,0.476743716051443
2001,0.468744666118779
2002,0.429726822165211
2003,0.416450169073926
2004,0.376912595853584
2005,0.412927758747416
2006,0.403270614297646
2007,0.397152680052477
2008,0.39358680906929
2009,0.419774763261007
2010,0.415961965260102
2011,0.362467372637232
2012,0.361247864201224
2013,0.356751779247035
2014,0.345105910974043
2015,0.354306566626855
2016,0.341577236685699
2017,0.329351112438274
2018,0.337169412564797
2019,0.318649492639197
2020,0.347244045545918
2021,..
2022,..
2023,..
2024,..
