Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,1434702654.27259
1971,1779572994.80669
1972,2339572192.51337
1973,3073605120.3562
1974,2875068946.49752
1975,2971538287.77953
1976,3630163678.87763
1977,4038708403.27837
1978,4937290969.89967
1979,5935089652.4091
1980,6695618606.44663
1981,6818749479.64366
1982,6702112163.14639
1983,6905888538.38065
1984,6892046043.76231
1985,7232225063.93862
1986,8152196873.67976
1987,10547199009.5946
1988,11833172302.7375
1989,11573060306.5633
1990,12175342138.2896
1991,12465113661.9401
1992,12991280306.2527
1993,14314473756.9825
1994,17024848891.8737
1995,18787858660.9989
1996,19884140419.037
1997,18712727731.1984
1998,16652981735.8808
1999,18187243759.4063
2000,18810433407.9831
2001,19087560689.7706
2002,21885258021.5881
2003,26333821912.7886
2004,30697142857.1429
2005,32448778427.0929
2006,33025095648.7906
2007,40159476739.9133
2008,42706825050.9594
2009,34875382597.289
2010,44356174905.2179
2011,51152198481.9997
2012,50852168174.6844
2013,55007020974.9542
2014,56333268810.663
2015,49784689412.298
2016,50322131532.6917
2017,56986304614.2734
2018,59071100322.3185
2019,58214279832.002
2020,46221338362.6872
2021,56662187013.7219
2022,60000634041.6989
2023,60519517736.8842
2024,64536380921.6401
2025,..
