Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,4.895
1987,4.429
1988,5.667
1989,7.104
1990,7.459
1991,9.774
1992,9.736
1993,8.964
1994,7.811
1995,6.488
1996,6.248
1997,6.861
1998,7.613
1999,6.693
2000,5.978
2001,5.382
2002,5.469
2003,5.108
2004,4.519
2005,4.145
2006,4.198
2007,3.965
2008,4.263
2009,6.143
2010,6.928
2011,6.759
2012,7.387
2013,6.423
2014,6.127
2015,5.905
2016,5.521
2017,5.241
2018,4.496
2019,4.421
2020,4.984
2021,3.888
2022,3.531
2023,3.974
2024,..
