Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,5.29629888682446
1973,4.70695970536573
1974,4.54982377443127
1975,4.59485306270675
1976,4.17539341657343
1977,3.9685555881892
1978,3.76534466477809
1979,3.53272321439298
1980,3.10091691947284
1981,3.52393725820213
1982,3.40057122456266
1983,3.61743105375578
1984,3.4430362261284
1985,3.23124755868661
1986,2.41754122989978
1987,2.56491795592917
1988,2.24485182210241
1989,2.00616361970765
1990,1.61648974242375
1991,1.48876445781347
1992,2.31125765943707
1993,2.08168318360951
1994,3.19379820021261
1995,2.16471299093656
1996,2.06077494692144
1997,1.79485536433541
1998,1.50193700023242
1999,1.3179964061323
2000,1.08743944089994
2001,1.08677280831983
2002,1.09036468849267
2003,1.11600546589448
2004,0.436256435230277
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
