Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,1.553556828
1992,1.633165829
1993,1.710841238
1994,1.786652654
1995,1.860666378
1996,1.932945604
1997,2.003550596
1998,2.07253886
1999,2.139965298
2000,2.205882353
2001,1.954961643
2002,1.699150425
2003,1.438304315
2004,2.223675605
2005,2.948574623
2006,3.619726839
2007,4.242896069
2008,4.823050423
2009,5.364495035
2010,5.870979082
2011,6.345782722
2012,6.791788211
2013,7.211538462
2014,9.092536245
2015,10.87962963
2016,12.71367521
2017,12.71367521
2018,12.70688735
2019,12.42819843
2020,12.42819843
2021,12.42819843
2022,12.42819843
2023,..
2024,..
2025,..
