Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,28.1235691425
2007,29.8851900639
2008,33.3138140725
2009,31.9030946737
2010,40.385610712
2011,40.1604498772
2012,42.3606178118
2013,42.9087713896
2014,45.1201029227
2015,42.6593306154
2016,51.8923475117
2017,55.7289775396
2018,55.4614900067
2019,52.6211088499
2020,60.7216445811
2021,59.2965321439
2022,..
2023,..
2024,..
2025,..
