Year,Value
1960,15800000
1961,16300000
1962,20100000
1963,21400000
1964,22100000
1965,22600000
1966,24200000
1967,35200000
1968,59500000
1969,76700000
1970,88600000
1971,105100000
1972,111800000
1973,106700000
1974,468000000
1975,622199900
1976,810100000
1977,891700100
1978,907400100
1979,1238000000
1980,1977400100
1981,2424900100
1982,2556600100
1983,2676600100
1984,2972500200
1985,3343399900
1986,2770500100
1987,2968999900
1988,3103500000
1989,3507400000
1990,5000486000
1991,4897290800
1992,5301107700
1993,5323146800
1994,5496724200
1995,5892725400
1996,6504170600
1997,6729920100
1998,5976000000
1999,6603700000
2000,8236800000
2001,8172000000
2002,8497700000
2003,9302100000
2004,10761700000
2005,13259400000
2006,16115100000
2007,18262500000
2008,25778900000
2009,20198100000
2010,23613000000
2011,28206800000
2012,31876700000
2013,33336400000
2014,33994655232.1657
2015,29400044082.9091
2016,28092471397.6939
2017,29965601005.5721
2018,33265147357.8696
2019,31590776565.5388
2020,27175524709.8702
2021,31278040691.2321
2022,38649043134.2176
2023,38579495244.8688
2024,38823293069.0374
2025,..
