Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,16643170498.8308
1994,17983291501.3488
1995,23992983931.7805
1996,25262455173.4834
1997,25120815797.1363
1998,25791633267.6266
1999,26653275642.111
2000,28244353440.9035
2001,28663988850.9607
2002,30021589011.9194
2003,35260542086.6707
2004,42046636144.2108
2005,47652555091.0334
2006,54191727181.1397
2007,65045990276.8231
2008,74546436524.4036
2009,60477433951.3368
2010,69483437401.7271
2011,86661928250.847
2012,85942893250.2667
2013,91185349022.535
2014,94608473924.7635
2015,83180871318.5648
2016,85228024855.1208
2017,97029839998.0746
2018,108797926801.866
2019,111074094149.279
2020,98182854687.1468
2021,130591265679.742
2022,152251773754.788
2023,153248652063.833
2024,159646259616.122
2025,..
