Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,40999139.0172197
1968,78998341.0331793
1969,106997753.044939
1970,80998299.0340193
1971,65192335.1532969
1972,193151076.28724
1973,136779353.069138
1974,149600000
1975,228900000
1976,352100020.20202
1977,742993843.939394
1978,1344208914.44444
1979,1632231934.44444
1980,2173670557.27273
1981,2529487579.09091
1982,2849794532.51185
1983,3433232502.51969
1984,2751329218.01722
1985,3095935986.21372
1986,3310098046.00124
1987,2958916375.18206
1988,2788438281.97095
1989,2702787396.21592
1990,2761176522.03992
1991,2726120693.008
1992,3428668430.66355
1993,2705481677.57121
1994,2724131789.10562
1995,2778309336.50933
1996,2626145151.13844
1997,3269405963.18629
1998,3442538912.12806
1999,2847000061.01547
2000,3990000000
2001,4736000000
2002,5744000000
2003,6642000000
2004,6613000000
2005,8659000000
2006,10548000000
2007,10585000000
2008,11476000000
2009,11154000000
2010,12561993862.3984
2011,15687007699.6937
2012,17543993912.447
2013,18091992151.466
2014,20064997467.4877
2015,22026997828.3954
2016,23076010394.3104
2017,23402994417.8638
2018,23570996144.4736
2019,24757998730.1925
2020,25435000000.316
2021,32730000000
2022,32657000000.1856
2023,28350999947.5274
2024,32201000000
2025,..
