Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,36.3820444881262
2001,36.4704767337174
2002,36.5597990039308
2003,36.6491235332267
2004,38.3533268350512
2005,40.051948707326
2006,41.8712078550453
2007,43.6965924516825
2008,45.5276108650431
2009,47.3641982720808
2010,49.2066353675779
2011,51.0548082670217
2012,52.9086096866619
2013,54.7673079838163
2014,56.6314636170423
2015,58.5009708232225
2016,60.3757049658476
2017,62.2553089946578
2018,64.1435342442995
2019,66.0398368746477
2020,67.9433820948755
2021,69.8533376726557
2022,71.7686736729802
2023,71.8243245387853
2024,71.8828600416756
2025,..
