Year,Value
1960,24.72
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,30.28
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,34.89
1980,29.08
1981,..
1982,..
1983,33.53
1984,34.09
1985,37.42
1986,34.74
1987,..
1988,35.9
1989,37.92
1990,32.24
1991,38.23
1992,..
1993,40.62
1994,41.44
1995,42.54
1996,..
1997,43.13
1998,42.52
1999,43.21
2000,40.9
2001,39.4
2002,45.85
2003,46.36
2004,46.47
2005,47.25
2006,45.64
2007,46.17
2008,47.28
2009,48.27
2010,47.068
2011,45.57
2012,47.873
2013,49.162
2014,49.628
2015,50.301
2016,50.645
2017,50.732
2018,52.358
2019,54.54
2020,53.181
2021,46.713
2022,49.71
2023,50.372
2024,..
