Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,39.1959800720215
1997,..
1998,38.5
1999,..
2000,37.3134346008301
2001,..
2002,45.2736320495605
2003,44.2786064147949
2004,44.230770111084
2005,39.2344512939453
2006,40.6698570251465
2007,37.3205757141113
2008,37.5
2009,42.6540298461914
2010,44.5497627258301
2011,43.6619720458984
2012,44.1314544677734
2013,45.0704231262207
2014,45.1923065185547
2015,45.7142868041992
2016,45.238094329834
2017,44.761905670166
2018,40.9523811340332
2019,44.2857131958008
2020,48.0952377319336
2021,42.8571434020996
2022,41.5094337463379
2023,42.4528312683105
2024,..
2025,..
