Year,Value
1960,..
1961,4.30210325047801
1962,-4.18025496590572
1963,2.34823284631279
1964,0.848689800054195
1965,-3.25428679789636
1966,4.79749821630025
1967,1.76645369559803
1968,4.30302343937549
1969,10.2965656772607
1970,0.0356465250963039
1971,1.04875886805881
1972,0.100398504700096
1973,-7.69841061436054
1974,-6.87604912774536
1975,4.95018689515483
1976,6.69376056683674
1977,6.68927057517946
1978,1.73442374380266
1979,0.35705038159579
1980,2.90785710019412
1981,9.10374771989372
1982,15.0802289584195
1983,2.42447473997022
1984,0.107500312874045
1985,-0.724377936196247
1986,13.6935677126964
1987,-21.7457067811208
1988,-5.64734719182573
1989,0.0124015920705862
1990,1.78771502064815
1991,-6.35425459304352
1992,-3.38381815975428
1993,55.1710378720173
1994,5.31518235442704
1995,2.75125165152818
1996,2.7638101965086
1997,7.6967995838772
1998,-0.732765235438201
1999,2.27211813472264
2000,1.53034593639779
2001,5.85612165442544
2002,3.67788318463236
2003,0.65417016842455
2004,5.49781082752931
2005,-3.81514746563742
2006,1.43242293502706
2007,0.694485669442921
2008,2.49300439474606
2009,1.83533505238972
2010,2.94315991632569
2011,0.599599080364291
2012,-3.58391196058772
2013,-0.0332892132191405
2014,2.08844174853564
2015,1.57507823120583
2016,3.45179310319116
2017,0.289469010082795
2018,2.20743941234418
2019,3.32540173339676
2020,4.83647508621768
2021,4.15604367057145
2022,4.34496527546204
2023,3.41000404260087
2024,..
2025,..
