Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,27.9345857854233
1991,28.0570790168596
1992,29.0562872660234
1993,28.9087381342568
1994,30.0036571906245
1995,32.8510510031295
1996,33.6856979809234
1997,35.5027410443
1998,39.7386707407584
1999,38.7973072974096
2000,39.08680749118
2001,39.0042964310467
2002,39.0325148891585
2003,38.2236073237242
2004,39.2414347574651
2005,39.6432074546346
2006,38.6483815475714
2007,40.7548733301702
2008,41.1196178694791
2009,38.7655141034876
2010,40.4998017316813
2011,42.0700840744092
2012,42.0817674405201
2013,41.926567326902
2014,41.1632355185585
2015,41.3435413618142
2016,41.9546249885005
2017,41.4692223964639
2018,36.5274757362579
2019,37.132466488543
2020,36.6145978306735
2021,35.1836783917129
2022,34.9103900578437
2023,36.7302897692169
2024,..
2025,..
