Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,12705.1492470775
1992,12439.6933937622
1993,12365.7952096176
1994,12586.6836388873
1995,12843.3045303085
1996,13239.1662359547
1997,13543.8647475337
1998,13047.4550051345
1999,13053.0898771754
2000,13220.7746743241
2001,13234.2949856932
2002,13367.9656996404
2003,13689.3089471224
2004,14132.6668916186
2005,14487.5545864854
2006,15004.4343457474
2007,15567.5619848411
2008,15980.7723034707
2009,15776.1579245163
2010,16450.3360380861
2011,16441.2655383742
2012,17257.2321128234
2013,18051.4261911975
2014,18572.4641802752
2015,19445.0689340997
2016,20231.5517324942
2017,22012.7681484427
2018,22946.5606688191
2019,23666.3655072362
2020,22857.1677303125
2021,23200.7138914669
2022,22362.2718653738
2023,23099.0225285148
2024,24096.9426407529
