Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,4.34782608695652
1992,4.34782608695652
1993,4.34782608695652
1994,4.34782608695652
1995,4.34782608695652
1996,4.34782608695652
1997,4.34782608695652
1998,4.34782608695652
1999,4.34782608695652
2000,4.34782608695652
2001,4.34782608695652
2002,4.34782608695652
2003,4.34782608695652
2004,4.34782608695652
2005,4.34782608695652
2006,4.34782608695652
2007,4.34782608695652
2008,4.34782608695652
2009,4.34782608695652
2010,4.34782608695652
2011,4.34782608695652
2012,4.34782608695652
2013,4.34782608695652
2014,4.34782608695652
2015,4.34782608695652
2016,4.34782608695652
2017,4.34782608695652
2018,4.34782608695652
2019,4.34782608695652
2020,4.34782608695652
2021,4.34782608695652
2022,4.34782608695652
2023,4.34782608695652
2024,..
2025,..
