Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,113651735.717773
2001,115676644.775391
2002,112037900.146484
2003,112324703.613281
2004,122481409.057617
2005,137493412.231445
2006,146258204.345703
2007,153891623.779297
2008,158783103.027344
2009,148330148.803711
2010,145170483.642578
2011,154680687.011719
2012,167795225.097656
2013,178051484.375
2014,193472718.505859
2015,224996565.673828
2016,235530941.894531
2017,226369638.427734
2018,225319797.363281
2019,215839412.841797
2020,198406973.388672
2021,181186107.788086
2022,187746752.929688
2023,206910139.404297
2024,..
2025,..
