Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,5.98582085033956
1997,5.83180812710422
1998,5.10637316182554
1999,4.27588351649284
2000,4.38673887234293
2001,1.55156390724621
2002,2.17701917589157
2003,2.24515472984754
2004,3.57780145129077
2005,5.79993280996618
2006,5.05620479398605
2007,7.25681188828761
2008,6.24170254972474
2009,3.63906288419228
2010,1.55923361948491
2011,3.89828188817722
2012,1.81658065022334
2013,1.17729272543417
2014,4.65598035016812
2015,5.97358640414187
2016,2.70456620841364
2017,5.18521569025174
2018,5.64272967249633
2019,5.32884651249144
2020,0.406903231531743
2021,6.59441832942352
2022,..
2023,..
2024,..
2025,..
