Year,Value
1960,0
1961,..
1962,..
1963,..
1964,..
1965,0
1966,..
1967,..
1968,..
1969,..
1970,0
1971,..
1972,..
1973,..
1974,..
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0.000329813817174974
1993,0.00298194546164078
1994,0.00498594322638205
1995,0.00864333998739816
1996,0.0165216782583232
1997,0.0307482078115487
1998,0.0666018324336203
1999,0.138120525036301
2000,0.356814088010581
2001,0.813604191248252
2002,1.58672985958743
2003,2.68589260594552
2004,4.89966101450195
2005,8.29321970533369
2006,15.1493450214786
2007,21.7435890983913
2008,31.7892111676059
2009,37.7857805479012
2010,44.1600641926314
2011,50.8485010353161
2012,56.3206961353067
2013,62.2634245845749
2014,67.2061877134112
2015,70.6630939187647
2016,68.1425805185222
2017,68.6060228997526
2018,73.3848389949006
2019,75.7454289641895
2020,79.9650119592337
2021,80.385516649546
2022,86.7805674982389
2023,..
2024,..
2025,..
