Year,Value
1960,3.04617059794709
1961,3.37385264202431
1962,3.43505215088187
1963,3.09099587401656
1964,2.76845716422107
1965,2.88631462775273
1966,2.91592793559717
1967,3.22139933000999
1968,2.60440596669752
1969,2.48771549470927
1970,2.5686654767977
1971,2.81603706830121
1972,1.81689115302889
1973,1.76093007783606
1974,1.38384817102774
1975,2.18780665286002
1976,1.44929939412779
1977,1.69297080546303
1978,2.15588030916828
1979,1.43725553974154
1980,5.12052380187586
1981,4.57538610468655
1982,3.39513618040993
1983,2.40806130007438
1984,2.70679599975117
1985,2.36336466044595
1986,3.50369474998552
1987,3.6842825676753
1988,3.79046333401263
1989,3.97219193234053
1990,3.32859348965782
1991,3.01505471978556
1992,4.36107258929896
1993,4.08544733192122
1994,3.87396371923474
1995,3.87228844832107
1996,3.86782794484204
1997,3.6199546894699
1998,3.26357376018126
1999,2.68288791326887
2000,2.84170487167144
2001,3.19862020163132
2002,3.29275989122316
2003,2.81790635906462
2004,1.83990669002969
2005,1.4205891762534
2006,1.55798358730429
2007,1.74287966723172
2008,2.12849879546995
2009,2.60080822314092
2010,2.75320244009141
2011,2.29484049034994
2012,3.32345173357562
2013,2.60218617135756
2014,2.87652475710063
2015,3.75468500057281
2016,5.33142335648145
2017,4.42576726282072
2018,3.44509770957721
2019,5.20048285222253
2020,7.20115251035971
2021,6.41501460762876
2022,6.0866356773912
2023,7.01189994307471
2024,..
2025,..
