Year,Value
1960,108.4
1961,104.4
1962,100.5
1963,96.6
1964,92.4
1965,87.9
1966,83.1
1967,78.1
1968,73.3
1969,68.6
1970,64.2
1971,60.2
1972,56.6
1973,53.4
1974,50.5
1975,48
1976,45.6
1977,43.5
1978,41.5
1979,39.7
1980,38.1
1981,36.5
1982,35.2
1983,34.1
1984,33.4
1985,33
1986,33.1
1987,33.9
1988,34.4
1989,35.6
1990,36.7
1991,37.7
1992,38.3
1993,38.6
1994,38.4
1995,101.8
1996,100.3
1997,98.9
1998,97.4
1999,96
2000,94.6
2001,93.5
2002,92.3
2003,31
2004,30.3
2005,29.9
2006,29.4
2007,29.1
2008,27.8
2009,26.8
2010,25.6
2011,24.4
2012,22.9
2013,21.5
2014,20.2
2015,19
2016,18.4
2017,17.1
2018,16.4
2019,15.8
2020,15.6
2021,15.6
2022,15.8
2023,16.1
2024,..
2025,..
