Year,Value
1960,11.2685227704829
1961,10.452165361351
1962,9.30011359905286
1963,8.47584340241579
1964,8.06430300306241
1965,7.89168633888479
1966,8.16246092719207
1967,8.98526536601234
1968,9.86102877472648
1969,10.3334412723314
1970,10.4812586808436
1971,10.5460714583459
1972,10.4163456991818
1973,10.2260055320556
1974,10.2707597043801
1975,10.4631982634172
1976,10.7804143533389
1977,11.2816437263377
1978,11.7070814509863
1979,11.9970502363526
1980,12.2516855425323
1981,12.3649669384912
1982,12.2896145028346
1983,11.9933203570341
1984,11.4733238847811
1985,10.8300033452294
1986,10.1049782890938
1987,9.27591296349294
1988,8.55857431936158
1989,8.10863052767784
1990,7.8030060481849
1991,7.66186845549086
1992,7.66704359853189
1993,7.70983656929512
1994,7.74849091618459
1995,7.78907624554957
1996,7.81449315502855
1997,7.81819000658914
1998,7.82834011459739
1999,7.84294133285792
2000,7.87047357059331
2001,7.91514018651722
2002,7.96619747689732
2003,8.00265437746744
2004,8.01696196693507
2005,8.00494198599151
2006,7.9584793566777
2007,7.88109258924257
2008,7.78291715023478
2009,7.67190998673461
2010,7.54040060469668
2011,7.3874257897154
2012,7.22282099826612
2013,7.05220922969793
2014,6.8658326084986
2015,6.659610185448
2016,6.46675733735325
2017,6.30791147934128
2018,6.18362465325216
2019,6.08751799022135
2020,6.02449090729135
2021,5.98221379547859
2022,5.9442329678734
2023,5.91546622288083
2024,5.9124324365904
2025,..
