Year,Value
1960,..
1961,..
1962,45214285.7142857
1963,42865079.3650794
1964,48412698.4126984
1965,66904761.9047619
1966,73650793.6507937
1967,81468253.968254
1968,82111111.1111111
1969,89206349.2063492
1970,87571428.5714286
1971,96785714.2857143
1972,115793650.793651
1973,189380952.380952
1974,279930070.896825
1975,364230158.730159
1976,418380952.380952
1977,516444444.444444
1978,696166666.666667
1979,975968253.968254
1980,1279396825.39683
1981,1621293650.79365
1982,1389088235.29412
1983,1204245266.64384
1984,1004104839.3927
1985,681879822.963467
1986,852889868.55431
1987,891145362.48503
1988,864679851.095238
1989,896400009.66673
1990,1035074434.37957
1991,1334634604.58799
1992,1323627045.25762
1993,1425883071.71931
1994,1921587338.56234
1995,1995556669.41753
1996,2166115931.07774
1997,2283853985.28831
1998,1862474363.85243
1999,1676443783.62781
2000,1535512394.22318
2001,1526508132.4572
2002,1302501640.79311
2003,1586500245.2392
2004,1931451097.38258
2005,2244479465.48943
2006,2947811499.27607
2007,3807798738.0159
2008,5476477203.27651
2009,4228693680.52601
2010,6497620945.24528
2011,8324818455.68027
2012,7075011624.31679
2013,8476785612.71456
2014,9149156831.47418
2015,7922587670.06131
2016,7147988806.40675
2017,8033425402.0238
2018,9164195750.26728
2019,8224227800.31836
2020,7101125918.54239
2021,9587467854.52831
2022,11615265455.1796
2023,8691903149.16649
2024,10152331418.061
2025,..
