Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,9074.5
1996,9481
1997,10671
1998,9871
1999,9831
2000,10621
2001,10832
2002,10746
2003,11057
2004,11489
2005,11641
2006,11599
2007,11212
2008,11915.5
2009,9919
2010,10412
2011,10761
2012,11061
2013,11812
2014,12313
2015,12431
2016,12447
2017,11653
2018,11776
2019,13922.84
2020,13403.410352995
2021,11684.8005
2022,..
2023,..
2024,..
2025,..
