Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,33657693081629.5
1991,34074256511346.6
1992,34835906428233.4
1993,35053428628971.5
1994,36152882807458.2
1995,37653108087876.6
1996,38784061805010.1
1997,40113151359097
1998,41336645387576.4
1999,42739460491906.3
2000,44380128199653.7
2001,45206494668938.9
2002,45879545202291.4
2003,46802452808813.4
2004,48326381885600.3
2005,49689130438889.8
2006,51283241292530.9
2007,52424750890212
2008,51998997015799.9
2009,50648322082462.1
2010,52313419207309.3
2011,53127268630697.1
2012,53856554328351.2
2013,54571516985733
2014,55780942659634.5
2015,57186144273832.5
2016,58246184688236
2017,59796957237868.8
2018,61104525974931.7
2019,62322787662571.3
2020,59656825785832.6
2021,63479602035391.3
2022,64699375724346.3
2023,65668938107715.1
2024,..
2025,..
