Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,526183389.909212
2003,595723355.497683
2004,659025246.798132
2005,721833612.774585
2006,543228114.418172
2007,602762557.311948
2008,707806264.018127
2009,705689675.912997
2010,597915839.85196
2011,557376048.73483
2012,506137530.94215
2013,495273273.850104
2014,494940364.578225
2015,423628088.836653
2016,384040376.17417
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
