Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,33.6386982682712
1991,33.6386982682712
1992,33.7366123834805
1993,33.6383220217275
1994,35.2582136039385
1995,29.1914570750323
1996,32.8315350098439
1997,30.9028171620629
1998,30.9263827315957
1999,32.2327607613623
2000,32.6534681413884
2001,32.2397550533316
2002,23.0417450268127
2003,26.9837824271763
2004,24.8091854423925
2005,22.4525135885425
2006,21.8825580148952
2007,22.4232638356417
2008,24.5535973217297
2009,23.1414627016776
2010,25.0367582398118
2011,24.7088822863521
2012,26.5352626904543
2013,24.6292653403208
2014,25.5664329864047
2015,28.5618310090306
2016,28.2517611901484
2017,32.2806034491621
2018,29.58304543725
2019,31.2369800992428
2020,32.7576896797991
2021,34.866895150744
2022,34.8668951522736
2023,..
2024,..
2025,..
