Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.8927
1971,0.9667
1972,1.0712
1973,1.2611
1974,1.3733
1975,1.3615
1976,1.5683
1977,1.7217
1978,1.9913
1979,2.2911
1980,2.6035
1981,2.7334
1982,3.0686
1983,3.7222
1984,3.7976
1985,3.9489
1986,4.055
1987,4.4838
1988,4.6304
1989,4.7377
1990,5.0754
1991,5.2624
1992,5.4589
1993,5.451
1994,5.41
1995,5.1397
1996,5.5482
1997,5.967
1998,5.9425
1999,6.0782
2000,5.8582
2001,6.087
2002,6.2098
2003,6.3544
2004,6.591
2005,6.5014
2006,6.6386
2007,7.0212
2008,6.7465
2009,6.7774
2010,7.314
2011,7.884
2012,8.2682
2013,8.4026
2014,8.6121
2015,8.8427
2016,8.8234
2017,8.526
2018,8.5713
2019,8.5696
2020,8.9615
2021,9.4134
2022,10.0358
2023,9.9249
2024,10.2545
2025,..
