Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,9300175900
1969,10557501400
1970,11704000000
1971,12885000000
1972,14631000000
1973,19180000000
1974,31173000000
1975,51006000000
1976,76267000000
1977,116487000000
1978,152789000000
1979,199644000000
1980,224071000000
1981,287469000000
1982,328508000000
1983,334080000000
1984,328275000000
1985,320315000000
1986,288607000000
1987,284193000000
1988,278267000000
1989,303100000000
1990,331955000000
1991,386717000000
1992,379474000000
1993,368725000000
1994,363029000000
1995,376203000000
1996,404269000000
1997,423223000000
1998,406610000000
1999,406311000000
2000,440899000000
2001,446557000000
2002,447957000000
2003,474483000000
2004,516652000000
2005,586804000000
2006,678442000000
2007,756273000000
2008,869045000000
2009,948829000000
2010,1039590000000
2011,1200862000000
2012,1382873000000
2013,1535994000000
2014,1749712000000
2015,1866786000000
2016,1848607000000
2017,1927234000000
2018,2183882000000
2019,2230774000000
2020,2205873000000
2021,2440561000000
2022,2710702000000
2023,2946647000000
2024,3078906000000
2025,..
