Year,Value
1960,50.359
1961,50.318
1962,50.29
1963,50.171
1964,50.079
1965,50.119
1966,50.142
1967,50.089
1968,49.971
1969,49.927
1970,49.895
1971,49.854
1972,49.764
1973,49.585
1974,49.448
1975,49.433
1976,49.412
1977,49.282
1978,49
1979,48.58
1980,48.263
1981,47.9
1982,47.361
1983,46.847
1984,46.197
1985,45.443
1986,44.451
1987,43.728
1988,42.675
1989,42.173
1990,41.836
1991,41.198
1992,40.664
1993,40.314
1994,39.851
1995,39.564
1996,39.281
1997,39.244
1998,39.247
1999,39.559
2000,39.3
2001,38.858
2002,38.624
2003,38.675
2004,38.381
2005,37.984
2006,37.583
2007,37.272
2008,37.344
2009,37.29
2010,37.254
2011,37.391
2012,37.536
2013,36.748
2014,35.48
2015,34.505
2016,33.828
2017,32.801
2018,31.596
2019,30.405
2020,29.931
2021,29.71
2022,29.46
2023,29.423
2024,..
2025,..
