Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,149945
1991,155389
1992,160386
1993,166056
1994,171499
1995,176909
1996,183180
1997,189861
1998,196501
1999,203380
2000,211261
2001,217982
2002,224115
2003,229246
2004,234123
2005,238885
2006,243822
2007,248681
2008,253172
2009,258276
2010,265534
2011,275796
2012,287115
2013,298607
2014,311050
2015,323862
2016,336558
2017,349958
2018,363790
2019,375401
2020,382008
2021,394292
2022,410362
2023,422706
2024,435634
