Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,4.33495709070098
1971,2.08071489165511
1972,2.33720625320423
1973,2.2744938211174
1974,2.54005835328212
1975,2.33208865769472
1976,3.79318378577413
1977,2.56176609293781
1978,4.65360583339107
1979,5.00395815248337
1980,7.08423379048209
1981,6.98904664012189
1982,3.22761926064596
1983,3.50119314183008
1984,4.18224588708942
1985,2.87548762909659
1986,13.4463496255454
1987,2.60296504963849
1988,1.85337944204591
1989,0.842948579771676
1990,3.67030123458354
1991,2.13780810241268
1992,5.72820013128292
1993,4.31865366493406
1994,19.9075405983441
1995,10.1323413043208
1996,7.22535711586109
1997,1.88280534621973
1998,4.01668199135136
1999,4.73936730162765
2000,7.74196762799272
2001,5.79909498723989
2002,0.814620359862458
2003,0.894681264637224
2004,1.07770493421692
2005,0.765405665452504
2006,0.882566561037913
2007,0.353927185316936
2008,0.163619391623571
2009,0.209960131530294
2010,0.275625773992094
2011,0.401990878651549
2012,0.348441518080135
2013,0.387631797593808
2014,0.48208705378622
2015,0.776965842773959
2016,0.672063184533998
2017,1.05219433945407
2018,0.954677618184605
2019,1.16461252470882
2020,1.47861935637915
2021,1.50281425579171
2022,1.7115789124232
2023,2.44302067465502
2024,..
