Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,1138.71561182558
1981,1084.78808317077
1982,1044.97260808765
1983,947.864498405629
1984,907.422143941861
1985,825.514349209366
1986,786.377167757277
1987,861.092490591932
1988,720.144459489892
1989,760.463970838478
1990,613.678003832499
1991,604.33421066965
1992,555.01019949126
1993,588.151461634522
1994,477.461527058877
1995,588.575062847313
1996,617.244703279301
1997,506.738298296615
1998,486.057177639378
1999,454.153120478229
2000,451.011176597137
2001,547.379948735004
2002,636.247178773828
2003,651.928555482078
2004,655.381425540419
2005,647.689187577893
2006,639.848436592722
2007,676.254832664338
2008,714.082347703658
2009,742.564242948437
2010,598.542321068153
2011,792.220273365775
2012,868.731936009132
2013,1151.16272015428
2014,1090.96113147541
2015,875.010080791679
2016,980.974604577181
2017,1001.33841417017
2018,1143.50131376687
2019,1218.8011041105
2020,1111.22080670907
2021,1149.31080351574
2022,1207.48121250642
2023,1207.11283731836
2024,1019.10887079958
2025,..
