Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,35.0515463917529
1978,35.4545454545455
1979,19.6
1980,34.1145833333332
1981,25.1612903225806
1982,33.9416058394161
1983,44.4099378881988
1984,29.5454545454545
1985,28.7431693989071
1986,66.8512995313169
1987,78.6454733932274
1988,67.9932970255551
1989,33.9044522261131
1990,76.1872782749606
1991,79.4167100364304
1992,85.7449968730453
1993,71.5981760224585
1994,80.433545552421
1995,80.4628083151898
1996,62.9583462933555
1997,50.8910584224389
1998,45.4794106462025
1999,34.6274684428943
2000,26.8727141870952
2001,30.5198481902217
2002,98.9807222490954
2003,90.7069686642918
2004,94.6754466025681
2005,81.939724436547
2006,57.4732076163414
2007,51.1310968826358
2008,57.321803089884
2009,25.2292506854975
2010,45.6834713535153
2011,28.2784046512251
2012,26.6126025900801
2013,30.0405375159675
2014,17.1097527108564
2015,18.8731616269675
2016,62.1127513309309
2017,58.3657542471393
2018,58.0015932686825
2019,66.7456411391973
2020,72.9460024070186
2021,33.2505229350031
2022,86.8017391946361
2023,46.486947158327
2024,..
2025,..
