Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,-13960000
1977,-25560000
1978,-51840000
1979,-39960000
1980,-62040000
1981,-71840000
1982,-91520000
1983,-114560000
1984,-96160000
1985,-89440000
1986,-102078460.064095
1987,-91980000
1988,-105460000
1989,-101300000
1990,-131681674.373326
1991,-120810810.810811
1992,-97239110.933918
1993,-111577026.163912
1994,-94629815.2656448
1995,-66707914.9017182
1996,-90348372.3586517
1997,-163197715.917202
1998,-162992575.671045
1999,-282200000
2000,-253100000
2001,-265700000
2002,-323400000
2003,-423040000
2004,-457930000
2005,-490300000
2006,-437520000
2007,-456250000
2008,-389050000
2009,-555969221.6125
2010,-538214600.837551
2011,-618187506.545119
2012,-870559542.539272
2013,-990203041.229708
2014,-1035436837.33253
2015,-1091852764.72645
2016,-1246384075.29227
2017,-1387620881.2541
2018,-1470093051.91878
2019,-1341102738.23633
2020,-1377386530.87952
2021,-1688001686.98573
2022,-1947288119.54484
2023,-2138968746.14717
2024,-2256261420.42612
2025,..
