Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,3700000
1971,7000000
1972,6599999.9
1973,6000000
1974,20100000
1975,13100000
1976,12960000
1977,18640000
1978,23360000
1979,-9960000
1980,5880000
1981,-5720000
1982,-1000000
1983,28080000
1984,12360000
1985,12400000
1986,24133631.4829509
1987,18320000
1988,16960000
1989,14360000
1990,1898272.08566561
1991,25180498.960499
1992,15309478.7202233
1993,16432044.0179603
1994,0
1995,38037218.5997811
1996,0
1997,59043540.3283369
1998,1102684180.4683
1999,215800000
2000,173400000
2001,278900000
2002,470000000
2003,141200000
2004,363270000
2005,511140000
2006,241130000
2007,1550510000
2008,903050000
2009,368730000
2010,-113160683.724282
2011,122500004.314785
2012,430126687.532424
2013,245179098.280128
2014,506295970.34993
2015,494541718.092298
2016,479469380.713821
2017,503801415.183001
2018,412743968.360673
2019,696287032.758767
2020,386532637.6773
2021,800443454.959999
2022,26235086.5900005
2023,642983912.959999
2024,923880785.120001
2025,..
