Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,2.71689568708204
1999,-8.8088097673278
2000,7.37874760876277
2001,1.68387535402712
2002,7.05205797834574
2003,5.32777165307216
2004,4.35427428777552
2005,5.26877272358992
2006,6.65814161176299
2007,7.94058838618652
2008,5.50708549106173
2009,0.155339786643879
2010,-0.593895037643051
2011,-0.127209827725721
2012,-0.408310476276668
2013,2.64784819861691
2014,-0.483905677490512
2015,1.40299303873583
2016,2.97719354672606
2017,1.58652616516468
2018,6.19719602486266
2019,5.08739731533232
2020,3.5851833098568
2021,8.08955222863081
2022,2.01330322376722
2023,7.06273584767206
2024,4.63473570148223
