Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,3.40354192021028
2011,4.79406522120274
2012,4.56884266863925
2013,3.87420761983343
2014,3.88372097417158
2015,3.9634913173831
2016,4.10463490936522
2017,4.41833777356377
2018,4.46849865449882
2019,4.25325097813277
2020,1.17493235271558
2021,..
2022,..
2023,..
2024,..
2025,..
