Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,38.860050201416
1986,39.2315406799316
1987,39.9314002990723
1988,40.5202293395996
1989,41.1004600524902
1990,41.8421096801758
1991,42.2185401916504
1992,42.8249702453613
1993,43.6066093444824
1994,44.2457618713379
1995,45.0338897705078
1996,45.9264297485352
1997,47.0541305541992
1998,47.7657890319824
1999,48.6851806640625
2000,47.2314605712891
2001,48.1860618591309
2002,48.4485397338867
2003,49.2161598205566
2004,49.8826713562012
2005,49.6608085632324
2006,48.8066482543945
2007,49.0117607116699
2008,49.435001373291
2009,49.9572982788086
2010,50.8931999206543
2011,52.9031715393066
2012,54.2409210205078
2013,55.2424697875977
2014,56.0313301086426
2015,56.8121490478516
2016,57.6547508239746
2017,58.1901588439941
2018,60.3228416442871
2019,61.1455383300781
2020,61.4011306762695
2021,61.4548683166504
2022,61.8960494995117
2023,62.2980308532715
2024,62.6571197509766
2025,..
