Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,75.2688140869141
1997,..
1998,77.0053482055664
1999,..
2000,82.4468078613281
2001,..
2002,76.1904754638672
2003,75.1322784423828
2004,73.8916244506836
2005,72.1951217651367
2006,64.3902435302734
2007,69.9029159545898
2008,66.5048522949219
2009,59.8086128234863
2010,56.6666679382324
2011,58.7677726745605
2012,56.8720397949219
2013,58.7677726745605
2014,52.8846168518066
2015,55.7142868041992
2016,55.238094329834
2017,56.1904754638672
2018,56.6666679382324
2019,50.9523811340332
2020,46.1904754638672
2021,50
2022,51.886791229248
2023,51.4150924682617
2024,..
2025,..
