Year,Value
1960,98.3442047165078
1961,88.2079851439183
1962,83.5126990959966
1963,83.3664152441445
1964,95.9821428571429
1965,97.9565358417126
1966,92.9866036249015
1967,95.151789759855
1968,89.4965817277812
1969,92.8172539957635
1970,94.2160785740269
1971,94.0199335548173
1972,101.298284981568
1973,99.2782442185889
1974,121.751860436745
1975,115.789473684211
1976,112.759643916914
1977,110.366328916602
1978,102.107409925221
1979,109.26517571885
1980,128.050314465409
1981,117.210348706412
1982,103.060109289617
1983,94.9632144878325
1984,81.25
1985,71.9358533791523
1986,74.2985409652076
1987,61.2244897959184
1988,65.5469422911283
1989,181.533357906377
1990,243.048403707518
1991,193.706761883508
1992,230.598121601582
1993,198.477157360406
1994,114.617432459081
1995,153.559079176794
1996,120.505313439058
1997,131.905259209486
1998,80.7489760093622
1999,94.4385405596883
2000,97.2910489580927
2001,103.562432885823
2002,87.8769601930036
2003,105.321786547397
2004,108.888088726359
2005,114.140076525822
2006,83.3085706355815
2007,81.828991440268
2008,86.2447411837492
2009,72.0439932318105
2010,78.3816210122572
2011,92.8254912814835
2012,94.1566265060241
2013,89.199693775396
2014,78.1398172776686
2015,71.7875419356154
2016,81.1172134703435
2017,91.0994442254306
2018,92.7631512787443
2019,96.2639676496627
2020,127.961755880485
2021,118.149637751634
2022,122.349300685481
2023,115.4147379107
2024,71.6133359685319
2025,..
