Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,259999.990463257
1991,1129999.99523163
1992,1299999.95231628
1993,..
1994,..
1995,90000.0035762787
1996,1070000.05245209
1997,920000.016689301
1998,1659999.9666214
1999,540000.021457672
2000,3460000.03814697
2001,3809999.94277954
2002,3940000.05722046
2003,5170000.07629395
2004,3829999.92370605
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
