Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,2.39934
1993,2.15599
1994,2.08771
1995,2.1378
1996,2.14104
1997,2.12971
1998,2.32
1999,2.31459
2000,2.42212
2001,2.40082
2002,2.51942
2003,2.46293
2004,2.60174
2005,2.64168
2006,2.75599
2007,2.71498
2008,2.95904
2009,3.22307
2010,3.15035
2011,2.83826
2012,2.88403
2013,2.7738
2014,2.94762
2015,3.12855
2016,3.09188
2017,3.29685
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
