Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,85625000
1991,112751000
1992,245806000
1993,17096000
1994,101434000
1995,-236710000
1996,-151541000
1997,-157418000
1998,-259729000
1999,-745841000
2000,-693308000
2001,-220107000
2002,233389000
2003,-81306000
2004,-399770000
2005,-186349000
2006,-15094000
2007,-466128000
2008,-798342000
2009,517156000
2010,387575000
2011,453722000
2012,1234048000
2013,1711637000
2014,2546794000
2015,3121844000
2016,3455026000
2017,3862646000
2018,3875118000
2019,4175088000
2020,4203955000
2021,2919619000
2022,1129352000
2023,4302161000
2024,4164314000
2025,..
