Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.0628
1971,0.0622
1972,0.0636
1973,0.0685
1974,0.0657
1975,0.1162
1976,0.0977
1977,0.0893
1978,0.095
1979,0.1017
1980,0.1069
1981,0.0983
1982,0.1001
1983,0.1013
1984,0.1056
1985,0.1086
1986,0.1125
1987,0.1145
1988,0.1072
1989,0.1137
1990,0.1273
1991,0.1325
1992,0.1453
1993,0.139
1994,0.1401
1995,0.14
1996,0.1338
1997,0.1368
1998,0.1366
1999,0.1385
2000,0.1371
2001,0.1282
2002,0.1242
2003,0.132
2004,0.1412
2005,0.1359
2006,0.1288
2007,0.1294
2008,0.1425
2009,0.1383
2010,0.1485
2011,0.1497
2012,0.1523
2013,0.1481
2014,0.1526
2015,0.156
2016,0.1562
2017,0.1523
2018,0.1675
2019,0.1706
2020,0.1733
2021,0.184
2022,0.1853
2023,0.1874
2024,0.2101
2025,..
