Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,9.56421110625926
2014,6.06816173457112
2015,8.03345957287178
2016,3.77391153812862
2017,30.7738888295257
2018,5.22056224291312
2019,2.19832034015177
2020,3.28499927602696
2021,3.34307615789092
2022,25.0389916630188
2023,0.0384062538993691
2024,0.0899054165105232
2025,..
