Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,141.039751221721
1991,140.07014583879
1992,141.393870450711
1993,126.798596513979
1994,168.645320822327
1995,183.491086452292
1996,189.90081687842
1997,190.482491676471
1998,206.366916505269
1999,205.756513553895
2000,221.418367215784
2001,220.080921804426
2002,227.609237297507
2003,216.745029556031
2004,207.042228151066
2005,212.544131459697
2006,205.136704029686
2007,209.639503903094
2008,224.340293880057
2009,229.915451139145
2010,226.942891122054
2011,228.624969482422
2012,236.577416140257
2013,237.984447804111
2014,234.28539708271
2015,236.228225923929
2016,236.861637104047
2017,231.840179443359
2018,228.706680297852
2019,218.590423583984
2020,208.467544555664
2021,202.174468994141
2022,202.159338993789
2023,202.870534100982
2024,201.675895153365
2025,..
