Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,55.8
2001,55.8
2002,55.8
2003,55.7
2004,55.6
2005,55.5
2006,55.3
2007,55.2
2008,54.9
2009,54.7
2010,54.5
2011,54.3
2012,54.1
2013,53.9
2014,53.7
2015,53.5
2016,53.3
2017,53.2
2018,53
2019,52.8
2020,52.7
2021,52.5
2022,52.5
2023,52.6
2024,..
2025,..
