Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,25.9919028340081
1975,36.520650813517
1976,38.3036935704515
1977,40.0298730395817
1978,39.4563047150976
1979,39.743414767299
1980,46.2162162162161
1981,38.8584126414079
1982,35.6216260096603
1983,33.4873031764813
1984,34.5184564369785
1985,35.6536646744259
1986,31.1963027233774
1987,28.1875495488693
1988,30.9624373247218
1989,22.0137627831405
1990,26.9397869533035
1991,29.8786919831224
1992,29.7975708502025
1993,36.0616460532279
1994,29.3405865327614
1995,33.9376770538244
1996,9.89370086307975
1997,11.3718570798412
1998,17.2815027393687
1999,23.7356668678335
2000,23.0194135925915
2001,23.1035543929835
2002,27.8943697060289
2003,29.7892193219609
2004,38.1695283971719
2005,55.017234403677
2006,50.9528212394483
2007,53.5426331195249
2008,43.0449851401761
2009,34.297517026413
2010,45.139529037124
2011,51.2622556013378
2012,51.0642471799902
2013,53.12191218058
2014,50.5778363428365
2015,46.0201785745733
2016,43.5291543129053
2017,39.4747321961502
2018,37.5117006435788
2019,37.2319255166042
2020,37.8775954920437
2021,..
2022,..
2023,..
2024,..
2025,..
