Year,Value
1960,9.13512169945249
1961,8.80547003185833
1962,9.08958023322682
1963,9.38890691156436
1964,9.24420721607216
1965,9.12915855641871
1966,8.4584000395381
1967,8.8335608600539
1968,10.0691784738886
1969,10.0945692247277
1970,11.2469471209191
1971,11.5228161293259
1972,10.9182834461715
1973,9.74110775392011
1974,9.34276483885793
1975,10.316518795322
1976,10.9694081826277
1977,10.6376701890489
1978,11.1804585581126
1979,11.9516911120827
1980,12.2921076760429
1981,12.7581025820836
1982,13.0906673998454
1983,12.8749636513441
1984,13.1670830492867
1985,13.5279694129657
1986,12.7549303450319
1987,11.3256811788169
1988,10.0467751984605
1989,9.52066541619023
1990,9.40461513137137
1991,9.22060819677098
1992,9.89796925226476
1993,11.0012606383598
1994,11.0522649217016
1995,11.2506028289929
1996,11.584261126839
1997,12.0838331235099
1998,13.0644916690294
1999,13.5690524039913
2000,13.575965221645
2001,13.4744970113195
2002,13.1723845314163
2003,12.9255475002545
2004,13.1136902414944
2005,13.6536233728387
2006,13.5022624455935
2007,13.9259484673327
2008,14.3419509919152
2009,15.9800519057133
2010,15.8008150334771
2011,16.1417809611223
2012,16.3529827045331
2013,16.3634854486488
2014,16.9163611055347
2015,17.1211512659094
2016,16.8651827576018
2017,16.2984037874409
2018,16.1739664282364
2019,16.1693520358071
2020,17.7948874074302
2021,18.2351747744466
2022,17.7190156034668
2023,16.6164810176384
2024,16.6910222318676
