Year,Value
1960,480790702.421808
1961,519126772.92335
1962,584003831.417625
1963,650552088.334134
1964,730192307.692308
1965,792692307.692308
1966,947403846.153846
1967,1139615384.61538
1968,1257644230.76923
1969,1343125000
1970,1373509615.38462
1971,1387451923.07692
1972,1568843966.51562
1973,2172743953.62002
1974,3282633712.33019
1975,3419308121.40514
1976,3856500136.29833
1977,5019533479.80645
1978,5788768870.8107
1979,8019027044.30828
1980,9824991784.42567
1981,10496074713.0569
1982,9012215416.65268
1983,10920988398.4933
1984,10937559289.3364
1985,10091466561.2033
1986,10157503647.5884
1987,14318700035.5638
1988,21214461459.8046
1989,27083485882.797
1990,35545811132.9004
1991,41756458834.2697
1992,45675754074.9401
1993,52752864173.1502
1994,63084056780.7048
1995,81632776746.1888
1996,82833928830.6609
1997,70306578166.1425
1998,48088381967.5567
1999,56073604731.5816
2000,71358148622.7383
2001,68589774463.8424
2002,72957610440.3709
2003,84013623652.3529
2004,106227137281.538
2005,131483811713.189
2006,145055658781.115
2007,160397501826.646
2008,201114263639.019
2009,154464210141.501
2010,207270092301.876
2011,255199302709.361
2012,273216802240.91
2013,274440605888.824
2014,254633174992.002
2015,229553374316.892
2016,221168950937.551
2017,247430252336.997
2018,283801450351.972
2019,272916501194.971
2020,231745471360.936
2021,297103648539.909
2022,334490522340.808
2023,326979087436.138
2024,351173464105.526
2025,..
