Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,2020532500
1994,1316164600
1995,1329451200
1996,935473000
1997,1249265900
1998,1381825500
1999,1277698600
2000,1492129500
2001,1575472400
2002,1699653500
2003,1808666800
2004,1917680100
2005,2026693400
2006,2135706700
2007,2244720000
2008,2353733300
2009,2462746700
2010,2571759900
2011,2680773300
2012,2789786600
2013,2898799800
2014,2942758300
2015,2541811500
2016,2853842100
2017,2988180600
2018,3108981000
2019,3253620700
2020,3358594200
2021,3513123700
2022,4016513600
2023,4334861900
2024,..
2025,..
