Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,13.0653266906738
1997,..
1998,14.5
1999,..
2000,18.9054718017578
2001,..
2002,29.8507461547852
2003,28.3582096099854
2004,21.634614944458
2005,25.3588523864746
2006,19.6172256469727
2007,13.3971290588379
2008,13.942307472229
2009,15.1658763885498
2010,16.1137447357178
2011,15.4929580688477
2012,15.962441444397
2013,15.023473739624
2014,24.519229888916
2015,21.4285717010498
2016,18.5714282989502
2017,11.4285717010498
2018,15.2380952835083
2019,15.7142858505249
2020,16.1904754638672
2021,17.619047164917
2022,17.4528293609619
2023,17.9245281219482
2024,..
2025,..
