Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,1310000
1993,1570000
1994,4390000
1995,12650000
1996,11320000
1997,7760000
1998,17140000
1999,13250000
2000,11690000
2001,16270000
2002,16690000
2003,12390000
2004,27860000
2005,23960000
2006,21560000
2007,17510000
2008,16930000
2009,8460000
2010,22370000
2011,11530000
2012,14042885
2013,9740671
2014,7734599
2015,9189877
2016,10727567
2017,7944241
2018,7675608
2019,9331330
2020,6221521
2021,7074658
2022,3268766
2023,4210461
2024,..
2025,..
